,comments
581,呵呵～
582,大二了
583,工作5年了
584,自己黑自己
585,四年级到大一
586,hhh
587,沃日
588,高一了
589,尴尬啊 但是还是想看
590,出社会四年了
591,小学到高三？
592,高三了啊
593,高一了
594,来了来了
595,展博，宛瑜呢？
596,初一了
597,？？？什么玩意儿
598,感觉会恰烂钱 
599,等你
600,换人了大师兄
601,娄艺潇演过话剧的
602,没有展博和宛瑜了吗
603,哈哈哈哈哈，我笑了
604,高一
605,工作了
606,毕业了
607,高二
608,我擦，不是吧？？
609,真的尴尬
610,炉石传说？？？
611,大一了
612,大一了
613,儿子出生了
614,结婚了
615,高二了
616,高中到研究生
617,高一了
618,大一了
619,大二了
620,减数分裂了
621,初一到工作两年
622,歌剧不错啊
623,用骨灰再捞一起钱、
624,高一
625,30出头了……
626,高中到研究生了
627,期待
628,大一了
629,小学到高三了
630,娃都会打酱油了
631,高一了
632,我先退了
633,大一了
634,大一了
635,弹幕礼仪呢
636,张伟最帅呀
637,小姨妈小姨妈小姨妈
638,结婚了。。。
639,巴尼斯定森，你今天又穿西装了
640,啊啊啊啊啊啊啊啊
641,羽墨！！！！
642,尬啥尬，我觉的刚刚好，音乐剧没看过？
643,大师兄居然瘦成这个样子了。
644,大炮哈哈哈
645,高一了
646,啊啊啊10年了
647,毕业了
648,俺也是
649,背后的苏宁小店瞩目啊
650,初中到大二了
651,啊啊啊
652,黑崎一护把我给炸出来了
653,初二到大二
654,我确实觉得很尴尬。。。
655,小学到高三
656,浓浓的炉石味
657,大师兄瘦了呀
658,这么多年过去了，张大炮还是张大炮
659,尴尬你马呢，自己没品位就别bb
660,说抄袭的你别来看啊
661,最后亿次?
662,不明白弹幕里面说尬的，真的双标，同样的歌舞外国人唱跳就不觉得尬，还吹的牛批
663,这个6哈哈哈哈哈哈哈哈
664,印度电影？
665,拍的挺好的 用心了
666,？？？？？？？？？？？？？？？？？？？？？。？？？？？？？？？？？？？？？？？？？？？
667,要是再低分那就很尴尬了，虽然我很喜欢
668,那个男人来了，哈哈哈哈哈
669,大师兄
670,张大炮转正了
671,五年级到大一
672,？？？？？
673,卧槽
674,卖情怀？？
675,只要有张伟或者陈赫我就会看
676,看到雨墨哭了
677,大一
678,我靠吻这么久
679,拍的很用心了
680,玩尬的？？？？？
681,羽墨我老婆！！！！！
682,哈哈哈哈哈
683,大一
684,大二了啊
685,尬那就别看了啊
686,挺好的呀
687,三年级到大一
688,六哟
689,展博宛瑜最早的主创啊  最终季还是没有给个交代啊
690,研一了
691,期待
692,er?kqny
693,尔康
694,啊啊啊啊啊啊
695,童年的笑声和回忆，，不会忘却!
696,音乐剧很不错啊，说尬的几年级了?
697,!
698,火钳刘明
699,这也尬?
700,这预告质量hend高啊
701,唱的挺好啊
702,女神!
703,工作
704,工作两年了
705,男神!!!
706,哈哈哈哈哈
707,大一了
708,不想看的出去啊!!
709,诺澜好漂亮啊。。。为啥演一个这么容易招黑的角色
710,张伟，，高了?
711,哇—6666666
712,看了五遍了
713,!我老婆
714,卧槽
715,谢谢你们!
716,一镜到底
717,大二了
718,？？？？？？？？？？
719,毕业了
720,玩尬的？
721,大一了
722,吕小布跟张益达在就行
723,OHHHHHHHHHHHHHHHHHHHHHHHHHHH
724,啊啊啊啊啊啊啊啊啊羽墨！！
725,羽墨！！
726,刚才转镜头的是第七人么
727,大三了
728,哈哈哈哈哈哈哈哈哈哈
729,小学到初中
730,确实尬。。。
731,高一了
732,好好说话能别唱歌么
733,哈哈哈哈哈
734,哇 瘦了
735,丽萨
736,我一个字都不会信
737,毕业了
738,黑丝好评
739,三年级到初二
740,我对I5没有太大的希望了。
741,。。。。。。。。这啥啊
742,大一了
743,陈美嘉太瘦了
744,可惜是抄袭
745,高三了
746,大三了
747,博士了
748,果果!
749,我就想知道上海这片楼盘被炒到多高了
750,美嘉动作到位表情可爱，歌声温柔
751,全剧终，剧透完了
752,初一到大学毕业了
753,????
754,???
755,说尬的歌舞剧没看过吗
756,关谷不可能来了，他明说他反感这个抄袭的剧组
757,研一了
758,大二了
759,大哥，有完没完？尬出天际了
760,若男还是好看
761,张伟原来这么高啊
762,自黑打针
763,卧槽
764,给劲
765,嘎嘎嘎嘎嘎嘎嘎嘎
766,不是我说前面的，咋的觉得尴尬还不让人说了，都说的是实话好吗
767,张益达
768,大一了
769,感觉就像优衣库的广告……服装老师出来挨打
770,已经大二了
771,我羽墨啊 啊啊啊
772,哈哈哈哈春晚即视感，这种欢快的尴尬
773,诺澜的腰啊！腰精！awsl
774,？？？？？？
775,陈赫没了
776,陈赫没了
777,厕所战神
778,金世佳呢？
779,歌剧形式很好啊，尬尼玛
780,绿了！子乔绿了！
781,曾大贤
782,毕业了
783,还是丽萨好看啊
784,官方吐槽
785,美嘉好可爱
786,我能发弹幕嘛
787,换人啦
788,玩尬的
789,你不是大师兄。。虽然发型很像但你不是。。
790,哈哈哈哈哈哈哈哈哈哈
791,我真的只期待婉瑜
792,雨墨也可能只是作为客串来一趟
793,李金铭真的好可爱啊！！！！
794,尬就滚啊，贱得慌
795,胖了太多了
796,我只关心小黑
797,尼玛的哈哈哈瘦了说换人
798,？？？？
799,lisa美美美
800,大一了
801,蓉蓉兔
802,毕业了
803,？？？？？？？？
804,黑粉们，辛苦你们了，还要专门跑过来看预告片增加人气
805,说到最终季真的鼻子好酸
806,那位cue迪士尼的认真的么
807,竟然出场景了！
808,大二了
809,啊啊啊啊啊啊啊啊啊
810,说尴尬的不也坚持到现在了0.0
811,这段长镜头可以
812,真的很尬
813,斯内克
814,抄也看
815,说抄的你可以不看
816,哈哈哈哈哈
817,来卖情怀了
818,？？？啥玩意？吕子乔你啥情况？
819,印度片吗
820,大一了
821,大师兄？怎么瘦这么多
822,啥？你说不是你的？那美嘉？(?_?)
823,结婚了
824,初中到大学毕业两年
825,斯内克！！！！
826,大二了，我去
827,15岁看到25岁
828,啊啊啊啊啊啊啊啊啊啊
829,卧槽！！！！！！预告片也这么刺激吗
830,15岁到25岁一个时代终于完结了
831,尬
832,斯内克
833,哭了，时间过得真是太快了，爱情公寓真的带来太多快乐了
834,小学到大四
835,哇哇哇哇哇哇
836,ohhhhhhhhhhhhhhhhhh
837,大四了
838,我高三了
839,好漂亮
840,整活了
841,那绿色衣服的是假关谷吧。。。
842,扯淡
843,诺澜呢？第四集末尾有她啊
844,尬死了
845,小姨妈都没有了？？？
846,不是一个人吧
847,婉瑜展博呢
848,是不是还少了楼下小黑
849,不是，这预告片还不错啊，无脑喷吗都？
850,有一说一爱情公寓该被喷，因为抄袭
851,我勒个大草
852,大二了
853,不喜勿喷，门后左转，谢谢
854,高三了
855,长镜头啊
856,大一
857,整尬的
858,这一季，在印度拍的吗？
859,一定看
860,大一了！
861,跳过看
